location_name,mean_1980,mean_1985,mean_1990,mean_1995,mean_2000,mean_2005,mean_2010,mean_2015,pdiff_1985,pdiff_1990,pdiff_1995,pdiff_2000,pdiff_2005,pdiff_2010,pdiff_2015,address,pdiff_1980
Chad,9.28,8.41,9.14,11.62,15.66,19.22,23.06,24.53,-0.09375,-0.015086207,0.252155172,0.6875,1.07112069,1.484913793,1.643318966,Chad,0
Chile,44.76,44.07,43.49,46.38,50.64,53.66,54.03,54.26,-0.01541555,-0.028373548,0.036193029,0.131367292,0.198838248,0.207104558,0.212243074,Chile,0
China,6.41,8.72,10.76,13.57,17.76,20.29,22.43,25.33,0.360374415,0.678627145,1.11700468,1.770670827,2.165366615,2.499219969,2.951638066,China,0
Colombia,21.9,25.36,28.82,33.07,35.85,38.13,40.16,40.3,0.157990868,0.315981735,0.510045662,0.636986301,0.74109589,0.833789954,0.840182648,Colombia,0
Comoros,17.59,16.46,17.44,18.41,18.93,20.85,24.52,24.68,-0.064241046,-0.008527572,0.046617396,0.076179648,0.185332575,0.393973849,0.403069926,Comoros,0
Congo,17.69,19.5,19.86,19.43,21.39,24.07,25.11,26.61,0.102317694,0.122668174,0.098360656,0.209157716,0.360655738,0.419446015,0.504239683,Republic of the Congo,0
Costa Rica,28.28,32.05,37.11,40.53,42.55,44.73,47.07,49.12,0.13330976,0.312234795,0.433168317,0.504596888,0.581683168,0.664427157,0.736916549,Costa Rica,0
Cote d'Ivoire,12.93,13.32,12.27,13.3,20.12,24.71,25.67,25.75,0.030162413,-0.051044084,0.028615623,0.556071152,0.911059551,0.985305491,0.991492653,Côte d'Ivoire,0
Croatia,36.57,36.9,36.21,35.8,38.35,41.98,42.6,42.89,0.00902379,-0.009844135,-0.02105551,0.048673776,0.147935466,0.164889253,0.172819251,Croatia,0
Cuba,29.84,33.15,34.95,33.34,35.31,39.94,43.27,44.42,0.110924933,0.171246649,0.117292225,0.183310992,0.33847185,0.450067024,0.488605898,Cuba,0
Cyprus,39.4,41.87,44.13,45.84,45.89,45.44,45.01,45.4,0.062690355,0.120050761,0.163451777,0.164720812,0.153299492,0.142385787,0.152284264,Cyprus,0
Czech Republic,42.88,42.91,42.25,41.57,41.31,42.37,43.53,43.36,0.000699627,-0.014692164,-0.030550373,-0.036613806,-0.011893657,0.015158582,0.01119403,Czechia,0
Democratic Republic of the Congo,20.25,20.48,20.73,19.35,16.78,13.99,12.38,12.36,0.011358025,0.023703704,-0.044444444,-0.171358025,-0.309135802,-0.388641975,-0.38962963,Democratic Republic of the Congo,0
Denmark,30.69,31.83,33.37,36.74,40.48,43.13,43.83,42.73,0.03714565,0.087324862,0.197132616,0.318996416,0.40534376,0.428152493,0.392310199,Denmark,0
Djibouti,12.75,12.03,12.59,14.72,20.3,26.85,32.28,34.7,-0.056470588,-0.01254902,0.154509804,0.592156863,1.105882353,1.531764706,1.721568627,Djibouti,0
Dominica,33.02,34.76,37,38.74,40.47,42.03,43.21,44.28,0.052695336,0.12053301,0.173228346,0.225620836,0.27286493,0.308600848,0.341005451,Dominica,0
