location_name,mean_1980,mean_1985,mean_1990,mean_1995,mean_2000,mean_2005,mean_2010,mean_2015,pdiff_1985,pdiff_1990,pdiff_1995,pdiff_2000,pdiff_2005,pdiff_2010,pdiff_2015,address,pdiff_1980
Singapore,22.86,23.49,24.26,25.32,26.49,27.2,28.31,29.12,0.027559055,0.061242345,0.107611549,0.158792651,0.189851269,0.238407699,0.27384077,Singapore,0
Slovakia,40.71,41.58,42.02,41.76,41.2,40.04,40.65,41.22,0.021370671,0.032178826,0.025792189,0.012036355,-0.016457873,-0.001473839,0.012527634,Slovakia,0
Slovenia,38.88,39.33,38.6,38.29,40.52,43.39,44.74,44.33,0.011574074,-0.007201646,-0.015174897,0.04218107,0.115997942,0.150720165,0.140174897,Slovenia,0
Solomon Islands,36.12,37.44,38.75,41.38,45.72,48.26,49.13,50.12,0.03654485,0.072812846,0.145625692,0.265780731,0.336101883,0.360188261,0.387596899,Solomon Islands,0
Somalia,15.66,16.41,16.85,15.29,14.96,15.95,16.73,17.33,0.04789272,0.075989783,-0.023627075,-0.044699872,0.018518519,0.068326948,0.106641124,Somalia,0
South Africa,39.06,38.11,37.91,39.22,41.06,43.38,45.09,46.21,-0.024321557,-0.029441884,0.004096262,0.051203277,0.110599078,0.15437788,0.183051715,South Africa,0
South Korea,18.09,18.99,20.82,22.27,22.84,22.62,23.56,25.31,0.049751244,0.150912106,0.231066888,0.262576009,0.250414594,0.302377004,0.399115533,Korea,0
South Sudan,15.27,15.08,15.53,16.14,17.83,19.25,20.06,20.71,-0.012442698,0.01702685,0.05697446,0.167648985,0.260641781,0.313686968,0.356254093,South Sudan,0
Spain,40.51,42.1,43.82,47.17,49.06,48.52,46.33,44.68,0.039249568,0.08170822,0.164403851,0.211058998,0.197728956,0.14366823,0.102937546,Spain,0
Sri Lanka,14.44,15.27,15.4,15.38,16.34,18.81,21.98,23.48,0.057479224,0.066481994,0.065096953,0.131578947,0.302631579,0.522160665,0.626038781,Sri Lanka,0
Sudan,25.97,28.1,30.12,31.4,32.36,33.92,34.58,35.34,0.082017713,0.159799769,0.209087409,0.246053138,0.306122449,0.331536388,0.360800924,Sudan,0
Suriname,23.74,28.45,33.18,35.1,37.46,40.4,44.07,47.17,0.198399326,0.397641112,0.47851727,0.577927548,0.701769166,0.856360573,0.98694187,Suriname,0
Swaziland,38.56,40.72,41.4,40.07,39.78,40.03,39.96,39.54,0.056016598,0.073651452,0.039159751,0.031639004,0.038122407,0.036307054,0.025414938,Swaziland,0
Sweden,34.21,34.57,34.06,36.52,40.2,42.06,43.78,45.15,0.010523239,-0.004384683,0.067524116,0.175095001,0.229465069,0.279742765,0.319789535,Sweden,0
Switzerland,31,32.18,32.75,32.69,33.43,34.66,36.94,38.2,0.038064516,0.056451613,0.054516129,0.078387097,0.118064516,0.191612903,0.232258065,Switzerland,0
Syria,42.21,46.54,46.85,46.57,47.94,49.18,49.87,49.62,0.102582326,0.109926558,0.103293059,0.135749822,0.165126747,0.181473584,0.175550817,Syria,0
Taiwan,24.2,23.84,24.53,26.24,27.16,29.04,30.36,30.95,-0.014876033,0.013636364,0.084297521,0.12231405,0.2,0.254545455,0.27892562,Taiwan,0
Tajikistan,23.29,22.16,20.6,19.1,18.86,19.63,21.93,24.14,-0.048518678,-0.115500215,-0.179905539,-0.190210391,-0.157148991,-0.058394161,0.03649635,Tajikistan,0
Tanzania,16.75,19.01,19.49,19.01,18.68,19.09,19.81,21.28,0.134925373,0.16358209,0.134925373,0.115223881,0.139701493,0.182686567,0.270447761,Tanzania,0
Thailand,16.38,14.56,14.7,18.71,22.38,24.54,27.15,29.14,-0.111111111,-0.102564103,0.142246642,0.366300366,0.498168498,0.657509158,0.778998779,Thailand,0
The Bahamas,32.8,37.54,42.76,44.06,46.77,49.54,50.28,50.67,0.144512195,0.303658537,0.343292683,0.425914634,0.510365854,0.532926829,0.544817073,The Bahamas,0
The Gambia,11.88,14.3,18.88,22.85,24.69,25.7,27.04,27.26,0.203703704,0.589225589,0.923400673,1.078282828,1.163299663,1.276094276,1.294612795,The Gambia,0
Timor-Leste,4.56,5.5,5.62,5.24,5.23,5.53,6.85,9.82,0.206140351,0.23245614,0.149122807,0.146929825,0.212719298,0.502192982,1.153508772,Timor-Leste,0
Togo,9.11,8.78,9,10.43,13.61,17.24,20.23,21.68,-0.03622393,-0.012074643,0.144895719,0.493962678,0.892425906,1.220636663,1.379802415,Togo,0
Tonga,59.83,61.81,64.5,67.02,69.32,70.62,70.55,70.35,0.033093766,0.078054488,0.120173826,0.158616079,0.180344309,0.179174327,0.175831523,Tonga,0
Trinidad and Tobago,33.44,36.79,36.9,35.89,38.02,41.63,44.11,45.32,0.100179426,0.1034689,0.07326555,0.136961722,0.244916268,0.319078947,0.355263158,Trinidad and Tobago,0
Tunisia,28.04,32.31,35.62,36.98,37.75,38.34,39.6,42.28,0.152282454,0.270328103,0.318830243,0.346291013,0.367332382,0.412268188,0.507845934,Tunisia,0
Turkey,36.22,39.71,43.34,44.57,45.1,48.14,48.76,50.53,0.096355605,0.196576477,0.230535616,0.245168415,0.329099945,0.346217559,0.395085588,Turkey,0
Turkmenistan,35.76,35.31,34.55,33.96,35.83,39.47,43.51,46.19,-0.012583893,-0.033836689,-0.05033557,0.001957494,0.103747204,0.216722595,0.291666667,Turkmenistan,0
Uganda,12.05,11.45,11.52,11.52,13.86,16.67,19.46,20.48,-0.049792531,-0.043983402,-0.043983402,0.150207469,0.38340249,0.614937759,0.699585062,Uganda,0
Ukraine,37.67,38.79,39.29,38.47,36.65,37.36,39.65,40.31,0.029731882,0.043005044,0.021237059,-0.02707725,-0.00822936,0.05256172,0.070082294,Ukraine,0
United Arab Emirates,51.61,55.03,54,51.45,52.51,53.96,52.71,51.92,0.066266227,0.046308855,-0.003100174,0.017438481,0.045533811,0.021313699,0.006006588,United Arab Emirates,0
United Kingdom,41.74,41.22,41.51,43.92,46.75,49.36,50.45,49.96,-0.012458074,-0.005510302,0.052228079,0.120028749,0.182558697,0.208672736,0.196933397,United Kingdom,0
United States,36.56,37.66,40.57,45.31,50.38,53.74,55.19,54.67,0.030087527,0.109682713,0.239332604,0.378008753,0.469912473,0.509573304,0.495350109,United States,0
Uruguay,41,39.56,38.41,39.88,41.48,42.13,43.92,46.17,-0.035121951,-0.063170732,-0.027317073,0.011707317,0.027560976,0.071219512,0.126097561,Uruguay,0
Uzbekistan,36.8,37.42,37.43,36.26,34.53,35.4,40.52,44.69,0.016847826,0.017119565,-0.014673913,-0.061684783,-0.038043478,0.101086957,0.214402174,Uzbekistan,0
Vanuatu,25.93,26.26,28,30.76,32.66,35.08,37.27,38.76,0.012726572,0.079830312,0.186270729,0.259544929,0.35287312,0.437331277,0.494793675,Vanuatu,0
Venezuela,28.66,33.76,38.02,39.3,40.44,43.14,47.66,50.56,0.17794836,0.326587579,0.371249128,0.41102582,0.505233775,0.662944871,0.764131193,Venezuela,0
Vietnam,3.55,3.73,3.76,3.73,4.21,6.02,8.65,10.86,0.050704225,0.05915493,0.050704225,0.185915493,0.695774648,1.436619718,2.05915493,Vietnam,0
"Virgin Islands, U.S.",38.89,43.24,47.95,50.79,54.3,57.65,60.05,60.96,0.111853947,0.232964772,0.305991257,0.396245822,0.482386218,0.54409874,0.567498071,U.S. Virgin Islands,0
Yemen,16.22,19.02,21.15,21.61,22.11,23.3,24.74,25.95,0.172626387,0.303945746,0.332305795,0.363131936,0.43649815,0.525277435,0.599876695,Yemen,0
Zambia,26.28,23.9,21.82,21.5,22.19,23.76,25.5,28.12,-0.090563166,-0.169710807,-0.181887367,-0.155631659,-0.095890411,-0.029680365,0.070015221,Zambia,0
Zimbabwe,24.85,23.48,21.87,21.54,22.74,22.69,22.65,25.02,-0.055130785,-0.119919517,-0.133199195,-0.084909457,-0.086921529,-0.088531187,0.006841046,Zimbabwe,0
